aAcc,mIoU,mAcc,data_time,time,step
85.06,47.24,51.64,0.0018925202008399685,0.04228105705748046,2000.0
85.77,51.25,56.9,0.001923057778060122,0.04341974204693341,4000.0
84.05,51.47,59.43,0.0018514671573263953,0.04226899238488178,6000.0
86.68,53.23,58.98,0.0019411205208393816,0.04251266487723091,8000.0
81.76,46.61,53.06,0.0019153594578755328,0.04253143407325319,10000.0
87.35,54.67,59.89,0.0018846694962097624,0.04240396910558392,12000.0
87.7,54.59,60.03,0.0018366447368119872,0.04250955517973522,14000.0
88.39,55.85,60.99,0.0018226932814630942,0.04244834801556109,16000.0
87.94,55.46,61.57,0.0019487875505247885,0.043822018412157514,18000.0
80.51,47.3,56.03,0.0018382188236642368,0.042535016451627314,20000.0
88.0,56.44,61.89,0.0018390126649349779,0.042608628151179814,22000.0
87.88,56.13,62.35,0.0018332849766213694,0.04264505628576278,24000.0
88.67,57.84,63.79,0.0029521492443898662,0.04559147299148504,26000.0
88.24,57.44,63.39,0.003340593371720206,0.04649721593005632,28000.0
88.16,57.46,63.5,0.003373232106001657,0.04684099478871539,30000.0
88.49,57.22,62.84,0.0020325787631328223,0.044710555267020426,32000.0
87.58,55.92,61.52,0.0019864101378556285,0.04360998936798223,34000.0
88.36,56.55,61.83,0.001971472550013333,0.043735001044564396,36000.0
88.2,56.66,62.43,0.00197744702662464,0.04395905437759524,38000.0
88.21,57.62,63.83,0.0020442556392592072,0.044130452455449685,40000.0
87.9,56.61,62.65,0.002090429637487461,0.04506016985277042,42000.0
88.69,58.47,64.13,0.0021682653176277435,0.044867503429914274,44000.0
88.04,56.46,62.11,0.0022230237646865244,0.04507681344239563,46000.0
88.07,56.92,62.73,0.002052421945114235,0.04493826838811543,48000.0
87.64,56.89,63.55,0.002113709401427838,0.04240966355182494,50000.0
88.98,58.71,64.37,0.0020526070669584302,0.042146728188871184,52000.0
88.53,57.5,62.96,0.0020947213760507673,0.042055113926857526,54000.0
88.1,57.66,63.44,0.0021758082876696034,0.042803287653083937,56000.0
88.93,59.43,65.11,0.002076202797982797,0.042494624646953284,58000.0
87.27,57.31,63.96,0.0020474641647589714,0.042558765115782986,60000.0
89.14,60.19,66.01,0.002114983738036227,0.042897216815949796,62000.0
88.24,57.93,63.42,0.002067563574447543,0.04267876441694791,64000.0
88.21,58.77,64.91,0.0020800313604017653,0.04249511552890757,66000.0
88.71,59.93,65.88,0.001960632907045125,0.042167591129200814,68000.0
89.25,61.16,67.43,0.0019859750758001956,0.041818602165626134,70000.0
89.48,61.24,67.5,0.002106452512450394,0.04233721918713206,72000.0
89.27,61.38,67.69,0.0020380929787115363,0.0422414109448683,74000.0
89.51,62.47,69.07,0.002013974781272852,0.04206514236036821,76000.0
89.9,63.14,69.4,0.0020369048787842172,0.04217671033364223,78000.0
89.88,63.04,69.35,0.002015484515196069,0.042076375821051726,80000.0
89.88,63.0,69.29,0.002000533290836646,0.0418756479873699,82000.0
89.83,62.81,69.16,0.0021535960997087563,0.042438667590866855,84000.0
89.77,63.11,69.64,0.0021712789552506867,0.04293308971564944,86000.0
89.75,62.98,69.32,0.002187111996830273,0.042532386620719675,88000.0
89.83,62.88,69.19,0.0020894888321237454,0.04196213764624691,90000.0
89.81,63.12,69.47,0.0021112948233513434,0.042265563372414654,92000.0
89.86,63.27,69.67,0.002112004640812955,0.04207455150819297,94000.0
89.72,62.86,69.26,0.0021369443281732754,0.042078228550125815,96000.0
89.79,63.01,69.39,0.0023006460700788615,0.043433713246652614,98000.0
89.76,62.94,69.22,0.0022534621121973377,0.043000737496684434,100000.0
89.77,63.45,70.01,0.0023644792763319183,0.041869245871214586,102000.0
89.74,62.85,69.03,0.0021920360288470403,0.041202175101969975,104000.0
89.83,63.12,69.45,0.002084703574124097,0.04042083103776476,106000.0
89.76,62.95,69.28,0.0020729041653174602,0.04042012308205519,108000.0
89.81,63.33,69.77,0.0020607004215296137,0.04035957225079945,110000.0
89.75,63.23,69.86,0.002041477839892364,0.04028153514215347,112000.0
89.82,63.18,69.46,0.0020320342659860434,0.04029843064806005,114000.0
89.86,63.21,69.56,0.0020400791415140004,0.04030200425660221,116000.0
89.83,63.39,69.97,0.0020295734054071052,0.04025063247531724,118000.0
